application_id,business_type,business_age,monthly_revenue,credit_score,bank_balance,gst_compliance,pan_card,gst_number,risk_level,risk_score,max_loan_amount,interest_rate,loan_approved
SME0001,Construction,1,2651314,438,284535,FALSE,HCWGW6192Z,36HCWGW6192Z9ZD,High,20,10000000,15.89,FALSE
SME0002,Trading,15,1224905,734,3258204,TRUE,IPSRI9838S,36IPSRI9838S8ZM,Medium,67,7349430,12.27,TRUE
SME0003,Textile,8,3205958,808,2490017,FALSE,GWOPH9322U,35GWOPH9322U7Z6,Medium,58,10000000,12.88,TRUE
SME0004,Technology,11,4989196,572,4826129,TRUE,ONAPJ2524I,35ONAPJ2524I2ZE,Low,75,10000000,9.97,TRUE
SME0005,Construction,12,3358084,398,4141146,FALSE,RKPBL5571I,09RKPBL5571I1ZH,High,47,10000000,15.04,FALSE
SME0006,Food & Beverage,12,304451,403,927472,TRUE,OBAJB6745A,15OBAJB6745A2ZN,High,33,1278694.2,16.07,FALSE
SME0007,Services,4,2080290,513,2288581,TRUE,OFLHM2030H,23OFLHM2030H7ZK,High,43,8737218,14.9,FALSE
SME0008,Construction,16,3524328,464,3659279,TRUE,EQHYJ1876C,26EQHYJ1876C8ZT,Medium,64,10000000,11.9,TRUE
SME0009,Textile,4,4849959,819,2014517,TRUE,RGOUV3182W,34RGOUV3182W2Z4,Low,70,10000000,10.3,TRUE
SME0010,Technology,5,503322,583,2072362,TRUE,NXBNV7620N,31NXBNV7620N1Z3,High,41,2113952.4,15.65,FALSE
SME0011,Trading,5,4671843,816,3642403,TRUE,FHVEH1003V,06FHVEH1003V7ZI,Low,76,10000000,10.17,TRUE
SME0012,Textile,8,4410796,463,3231131,TRUE,PIAQM4944J,08PIAQM4944J7ZC,Medium,57,10000000,13.35,TRUE
SME0013,Textile,10,4177716,363,2017338,TRUE,FXSYM0387J,01FXSYM0387J6Z6,High,48,10000000,14.38,FALSE
SME0014,Services,17,4459879,390,598574,FALSE,IQICK9800Y,27IQICK9800Y4ZX,High,42,10000000,14.93,FALSE
SME0015,Healthcare,9,2190545,416,2444138,TRUE,KVDGU9677A,23KVDGU9677A1ZN,High,44,9200289,15.77,FALSE
SME0016,Technology,19,2008802,566,114927,TRUE,XVDLX2356D,15XVDLX2356D3Z3,Medium,52,10000000,12.72,TRUE
